id,prompt,input,output,formatting_score
1,rewrite_zero_shot.txt,your app keeps crashing whenever i try to upload a file. fix this asap.,I am experiencing frequent crashes in the app whenever I attempt to upload a file. Could you please assist in resolving this issue as soon as possible? Thank you.,1
2,rewrite_zero_shot.txt,i was charged twice for the same order and i want my money back.,I noticed that I was charged twice for the same order. Could you please assist me with a refund for the duplicate charge? Thank you.,1
3,rewrite_zero_shot.txt,the report is wrong again. your system is showing numbers that don't match ours.,We have noticed discrepancies between the report generated by your system and our records. Could you please review the data to ensure accuracy? Thank you for your assistance.,0
4,rewrite_zero_shot.txt,why has nobody replied to my support ticket? i sent it three days ago.,"Dear Support Team,

I submitted a support ticket three days ago and have not yet received a response. Could you please provide an update on the status of my request?

Thank you for your assistance.",1
5,rewrite_zero_shot.txt,i forgot my password and the reset email never came.,"I forgot my password, and I have not received the password reset email. Could you please assist me with this issue?",1
6,rewrite_zero_shot.txt,the delivery was supposed to come yesterday but it still hasn't arrived.,"I was expecting the delivery to arrive yesterday, but it has not yet been received. Could you please provide an update on its status?",1
7,rewrite_zero_shot.txt,i need to cancel my subscription because i don't use the service anymore.,I would like to cancel my subscription as I am no longer using the service.,1
8,rewrite_zero_shot.txt,the website is very slow and sometimes the payment page doesn't load.,"We have noticed that the website is experiencing slow loading times, and occasionally the payment page fails to load.",1
9,rewrite_zero_shot.txt,this is the worst service ever. i have been waiting forever.,"I am very disappointed with the service, as I have been waiting for an extended period of time.",1
10,rewrite_zero_shot.txt,I don't understand why I need to verify my identity again.,Could you please clarify why it is necessary for me to verify my identity again?,1
1,rewrite_few_shot.txt,your app keeps crashing whenever i try to upload a file. fix this asap.,I am experiencing crashes in the app whenever I try to upload a file. Could you please assist me in resolving this issue?,1
2,rewrite_few_shot.txt,i was charged twice for the same order and i want my money back.,I noticed that I was charged twice for the same order. Could you please review the duplicate charge and assist me with a refund?,1
3,rewrite_few_shot.txt,the report is wrong again. your system is showing numbers that don't match ours.,"The report contains discrepancies, as the numbers displayed in your system do not match ours. Could you please assist in resolving this issue?",1
4,rewrite_few_shot.txt,why has nobody replied to my support ticket? i sent it three days ago.,I submitted a support ticket three days ago and have not yet received a response. Could you please provide an update on its status?,1
5,rewrite_few_shot.txt,i forgot my password and the reset email never came.,I forgot my password and have not received the reset email. Could you please assist me with this issue?,1
6,rewrite_few_shot.txt,the delivery was supposed to come yesterday but it still hasn't arrived.,My delivery was scheduled for yesterday but has not yet arrived. Could you please provide an update on its status?,1
7,rewrite_few_shot.txt,i need to cancel my subscription because i don't use the service anymore.,I would like to cancel my subscription as I am no longer using the service. Could you please assist me with this process?,1
8,rewrite_few_shot.txt,the website is very slow and sometimes the payment page doesn't load.,"I am experiencing slow performance on the website, and occasionally the payment page does not load. Could you please assist me in resolving these issues?",1
9,rewrite_few_shot.txt,this is the worst service ever. i have been waiting forever.,I have been waiting for a considerable amount of time and would appreciate an update on the status of my service. Could you please assist me?,1
10,rewrite_few_shot.txt,I don't understand why I need to verify my identity again.,I would like to understand the reason for needing to verify my identity again. Could you please provide clarification?,1
